epoch,train_loss,val_loss,train_auc,val_auc
1,2.5,2.6,0.5,0.48
2,2.4368294196961577,2.557961172579017,0.5221735609089952,0.5046944883207373
3,2.3581859485365135,2.4802638954165346,0.5399957360304151,0.5177019568458351
4,2.262822400161197,2.3767243867011545,0.5517546318055115,0.520107051670281
5,2.164863950093842,2.290115061734925,0.5594162585657243,0.5245807751133258
6,2.0808215145067375,2.2416175350540324,0.5674319750469207,0.5415335160931554
7,2.0144116900360216,2.203810035915475,0.5800383539116416,0.5677384963621604
8,1.9531397319743757,2.135637967242648,0.5986873336212768,0.589858018806524
9,1.8797871649324676,2.0347701965633105,0.6211654920485049,0.5990190063147011
10,1.788242369704835,1.9405719130980053,0.6429366786384916,0.6005095692746961
11,1.6891195777822126,1.8839028124599868,0.6598935824662339,0.6080001175213916
12,1.600000195868986,1.8477622054412168,0.6708491719289177,0.6286042304255848
13,1.5292685416399914,1.7889697332964785,0.6782567321877702,0.6551048821764868
14,1.468403340736533,1.6932326095689834,0.6867217353091435,0.6738412635712953
15,1.3998121471138973,1.593372988992555,0.7002082227084868,0.6796374202809483
16,1.3130057568031424,1.5274703825968499,0.7196342708199956,0.6814585758915704
17,1.2142419336666987,1.4902994478645968,0.7423150982510154,0.6926138660249824
18,1.1207720501624088,1.43999378700428,0.763591618148565,0.7162120116902296
19,1.0449802550645666,1.3514375147496482,0.7796565777654928,0.7417640848500853
20,0.982997544193259,1.2482951573186727,0.7898639868885379,0.7566458903443082
21,0.9182589050145524,1.1728326491398013,0.7971209668333494,0.7598937842885152
22,0.8367331127707212,1.1320162421757642,0.8061243296641849,0.7632577515861638
23,0.7398229738141919,1.088628552834781,0.8205115550208187,0.7783609312796727
24,0.6430755919164965,1.0087313140624918,0.840654343779281,0.8039977600424459
25,0.5618884327598676,0.9049463209693828,0.8634331492881989,0.8274514211339125
